profile,workload,variant,repetition,seed,phase,expected_diagnosis,event_id,region_id,event_operation_index,action_operation_index,action_start_operation,action_end_operation,trial_start_operation,trial_end_operation,commit_operation_index,trigger_window_sequence,diagnosis,action,outcome,reason,from_leaf,to_leaf,records_moved,leaves_touched,moved_record_fraction,touched_leaf_fraction,region_exposure_fraction,predicted_benefit_nanos,estimated_action_cost_nanos,safety_adjusted_cost_nanos,predicted_break_even_operations,action_nanos,trial_operations,comparable_trial_samples,baseline_objective_nanos,candidate_objective_nanos,baseline_p99_nanos,candidate_p99_nanos,baseline_operation_mix,trial_operation_mix,raw_gain,net_gain,operation_mix_drift
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,0,1103515245,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.344E7,2950.0,3245.0000000000005,4.828869047619048,533000,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,1,214013,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.472E7,2950.0,3245.0000000000005,4.408967391304349,27200,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,2,1664525,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.544E7,2950.0,3245.0000000000005,4.203367875647669,376400,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,3,22695477,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.472E7,2950.0,3245.0000000000005,4.408967391304349,20900,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,4,69069,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.944E7,2950.0,3245.0000000000005,3.3384773662551446,22000,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,5,48271,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.072E7,2950.0,3245.0000000000005,6.054104477611941,346100,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,6,134775813,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,8480000.0,2950.0,3245.0000000000005,7.653301886792454,381700,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,7,16807,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.016E7,2950.0,3245.0000000000005,6.387795275590552,411000,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,8,2147483647,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,4480000.0,2950.0,3245.0000000000005,14.486607142857144,20000,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,9,6364136223846793005,GROUND_TRUTH,INSERT_SPLIT_PRESSURE,1,211,715,640,640,640,641,714,-1,5,INSERT_SPLIT_PRESSURE,SLACKEN,ROLLBACK,trial mutation would escape the monitored leaf-level region,0,1,55,3,0.00513347022587269,0.0136986301369863,1.0,1.44E7,2950.0,3245.0000000000005,4.506944444444445,39000,74,0,NaN,NaN,NaN,NaN,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,SEARCH=0.0;INSERT=1.0;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,NaN,NaN
